Height    g     unit

    0  -9.8297  m/s^2
  500  -8.4512  m/s^2
 1000  -7.3435  m/s^2
 1500  -6.4402  m/s^2
 2000  -5.6938  m/s^2
 2500  -5.0700  m/s^2
 3000  -4.5434  m/s^2
 3500  -4.0948  m/s^2
 4000  -3.7095  m/s^2
 4500  -3.3761  m/s^2
 5000  -3.0857  m/s^2
 5500  -2.8313  m/s^2
 6000  -2.6070  m/s^2
 6500  -2.4084  m/s^2
 7000  -2.2317  m/s^2
 7500  -2.0737  m/s^2
 8000  -1.9319  m/s^2
 8500  -1.8042  m/s^2
 9000  -1.6887  m/s^2
 9500  -1.5840  m/s^2
10000  -1.4887  m/s^2
10500  -1.4018  m/s^2
11000  -1.3222  m/s^2
11500  -1.2493  m/s^2
12000  -1.1822  m/s^2
12500  -1.1204  m/s^2
13000  -1.0633  m/s^2
13500  -1.0105  m/s^2
14000  -0.9615  m/s^2
14500  -0.9159  m/s^2
15000  -0.8736  m/s^2
15500  -0.8341  m/s^2
16000  -0.7972  m/s^2
16500  -0.7628  m/s^2
17000  -0.7305  m/s^2
17500  -0.7002  m/s^2
18000  -0.6718  m/s^2
18500  -0.6450  m/s^2
19000  -0.6198  m/s^2
19500  -0.5961  m/s^2
20000  -0.5737  m/s^2
20500  -0.5526  m/s^2
21000  -0.5326  m/s^2
21500  -0.5136  m/s^2
22000  -0.4957  m/s^2
22500  -0.4787  m/s^2
23000  -0.4625  m/s^2
23500  -0.4472  m/s^2
24000  -0.4326  m/s^2
24500  -0.4187  m/s^2
25000  -0.4054  m/s^2
25500  -0.3928  m/s^2
26000  -0.3808  m/s^2
26500  -0.3693  m/s^2
27000  -0.3583  m/s^2
27500  -0.3478  m/s^2
28000  -0.3377  m/s^2
28500  -0.3281  m/s^2
29000  -0.3189  m/s^2
29500  -0.3101  m/s^2
30000  -0.3016  m/s^2
30500  -0.2935  m/s^2
31000  -0.2857  m/s^2
31500  -0.2782  m/s^2
32000  -0.2710  m/s^2
32500  -0.2641  m/s^2
33000  -0.2574  m/s^2
33500  -0.2510  m/s^2
34000  -0.2448  m/s^2
34500  -0.2389  m/s^2
35000  -0.2331  m/s^2
35500  -0.2276  m/s^2
36000  -0.2222  m/s^2
36500  -0.2171  m/s^2
37000  -0.2121  m/s^2
37500  -0.2073  m/s^2
38000  -0.2027  m/s^2
38500  -0.1982  m/s^2
39000  -0.1938  m/s^2
39500  -0.1896  m/s^2
40000  -0.1856  m/s^2
